# For a description of the format of this file, see $WCSIM_SOURCE_DIR/doc/PMTPositionTableFormat.md

#DATASTART
4 121 0 3502.10000000 452.93300000 710.00000000 -0.965926 -0.258819 0.00000000 0 1
4 122 0 3259.38000000 1358.80000000 710.00000000 -0.965926 -0.258819 0.00000000 0 1
4 123 0 2806.44000000 2143.30000000 710.00000000 -0.707107 -0.707107 0.00000000 0 1
4 124 0 2143.30000000 2806.44000000 710.00000000 -0.707107 -0.707107 0.00000000 0 1
4 125 0 1358.80000000 3259.38000000 710.00000000 -0.258819 -0.965926 0.00000000 0 1
4 126 0 452.93300000 3502.10000000 710.00000000 -0.258819 -0.965926 0.00000000 0 1
4 127 0 -452.93300000 3502.10000000 710.00000000 0.258819 -0.965926 0.00000000 0 1
4 128 0 -1358.80000000 3259.38000000 710.00000000 0.258819 -0.965926 0.00000000 0 1
4 129 0 -2143.30000000 2806.44000000 710.00000000 0.707107 -0.707107 0.00000000 0 1
4 130 0 -2806.44000000 2143.30000000 710.00000000 0.707107 -0.707107 0.00000000 0 1
4 131 0 -3259.38000000 1358.80000000 710.00000000 0.965926 -0.258819 0.00000000 0 1
4 132 0 -3502.10000000 452.93300000 710.00000000 0.965926 -0.258819 0.00000000 0 1
4 133 0 -3502.10000000 -452.93300000 710.00000000 0.965926 0.258819 0.00000000 0 1
4 134 0 -3259.38000000 -1358.80000000 710.00000000 0.965926 0.258819 0.00000000 0 1
4 135 0 -2806.44000000 -2143.30000000 710.00000000 0.707107 0.707107 0.00000000 0 1
4 136 0 -2143.30000000 -2806.44000000 710.00000000 0.707107 0.707107 0.00000000 0 1
4 137 0 -1358.80000000 -3259.38000000 710.00000000 0.258819 0.965926 0.00000000 0 1
4 138 0 -452.93300000 -3502.10000000 710.00000000 0.258819 0.965926 0.00000000 0 1
4 139 0 452.93300000 -3502.10000000 710.00000000 -0.258819 0.965926 0.00000000 0 1
4 140 0 1358.80000000 -3259.38000000 710.00000000 -0.258819 0.965926 0.00000000 0 1
4 141 0 2143.30000000 -2806.44000000 710.00000000 -0.707107 0.707107 0.00000000 0 1
4 142 0 2806.44000000 -2143.30000000 710.00000000 -0.707107 0.707107 0.00000000 0 1
4 143 0 3259.38000000 -1358.80000000 710.00000000 -0.965926 0.258819 0.00000000 0 1
4 144 0 3502.10000000 -452.93300000 710.00000000 -0.965926 0.258819 0.00000000 0 1
4 145 0 3502.10000000 452.93300000 1420.00000000 -0.965926 -0.258819 0.00000000 0 1
4 146 0 3259.38000000 1358.80000000 1420.00000000 -0.965926 -0.258819 0.00000000 0 1
4 147 0 2806.44000000 2143.30000000 1420.00000000 -0.707107 -0.707107 0.00000000 0 1
4 148 0 2143.30000000 2806.44000000 1420.00000000 -0.707107 -0.707107 0.00000000 0 1
4 149 0 1358.80000000 3259.38000000 1420.00000000 -0.258819 -0.965926 0.00000000 0 1
4 150 0 452.93300000 3502.10000000 1420.00000000 -0.258819 -0.965926 0.00000000 0 1
4 151 0 -452.93300000 3502.10000000 1420.00000000 0.258819 -0.965926 0.00000000 0 1
4 152 0 -1358.80000000 3259.38000000 1420.00000000 0.258819 -0.965926 0.00000000 0 1
4 153 0 -2143.30000000 2806.44000000 1420.00000000 0.707107 -0.707107 0.00000000 0 1
4 154 0 -2806.44000000 2143.30000000 1420.00000000 0.707107 -0.707107 0.00000000 0 1
4 155 0 -3259.38000000 1358.80000000 1420.00000000 0.965926 -0.258819 0.00000000 0 1
4 156 0 -3502.10000000 452.93300000 1420.00000000 0.965926 -0.258819 0.00000000 0 1
4 157 0 -3502.10000000 -452.93300000 1420.00000000 0.965926 0.258819 0.00000000 0 1
4 158 0 -3259.38000000 -1358.80000000 1420.00000000 0.965926 0.258819 0.00000000 0 1
4 159 0 -2806.44000000 -2143.30000000 1420.00000000 0.707107 0.707107 0.00000000 0 1
4 160 0 -2143.30000000 -2806.44000000 1420.00000000 0.707107 0.707107 0.00000000 0 1
4 161 0 -1358.80000000 -3259.38000000 1420.00000000 0.258819 0.965926 0.00000000 0 1
4 162 0 -452.93300000 -3502.10000000 1420.00000000 0.258819 0.965926 0.00000000 0 1
4 163 0 452.93300000 -3502.10000000 1420.00000000 -0.258819 0.965926 0.00000000 0 1
4 164 0 1358.80000000 -3259.38000000 1420.00000000 -0.258819 0.965926 0.00000000 0 1
4 165 0 2143.30000000 -2806.44000000 1420.00000000 -0.707107 0.707107 0.00000000 0 1
4 166 0 2806.44000000 -2143.30000000 1420.00000000 -0.707107 0.707107 0.00000000 0 1
4 167 0 3259.38000000 -1358.80000000 1420.00000000 -0.965926 0.258819 0.00000000 0 1
4 168 0 3502.10000000 -452.93300000 1420.00000000 -0.965926 0.258819 0.00000000 0 1
4 169 0 3502.10000000 452.93300000 2130.00000000 -0.965926 -0.258819 0.00000000 0 1
4 170 0 3259.38000000 1358.80000000 2130.00000000 -0.965926 -0.258819 0.00000000 0 1
4 171 0 2806.44000000 2143.30000000 2130.00000000 -0.707107 -0.707107 0.00000000 0 1
4 172 0 2143.30000000 2806.44000000 2130.00000000 -0.707107 -0.707107 0.00000000 0 1
4 173 0 1358.80000000 3259.38000000 2130.00000000 -0.258819 -0.965926 0.00000000 0 1
4 174 0 452.93300000 3502.10000000 2130.00000000 -0.258819 -0.965926 0.00000000 0 1
