PMT position table for custom PMT placement. The direction is just for reference but not used.
Type is used to specified which PMT to be placed in hybrid configuration
mPMTId will override the default numbering scheme
Section is: 0 = barrel, 1 = top cap, 2 = top border ring, 3 = bottom cap, 4 = bottom border ring

Type mPMTId Section  X(mm)  Y(mm)   Z(mm)          DirX         DirY        DirZ   Rotation(deg)  Use

#DATASTART
1 299 3 -2025 -1215 -4000 0 0 1 0 1
1 300 3 -2025 -405 -4000 0 0 1 0 1
1 301 3 -2025 405 -4000 0 0 1 0 1
1 302 3 -2025 1215 -4000 0 0 1 0 1
1 303 3 -1215 -2025 -4000 0 0 1 0 1
1 304 3 -1215 -1215 -4000 0 0 1 0 1
1 305 3 -1215 -405 -4000 0 0 1 0 1
1 306 3 -1215 405 -4000 0 0 1 0 1
1 307 3 -1215 1215 -4000 0 0 1 0 1
1 308 3 -1215 2025 -4000 0 0 1 0 1
1 309 3 -405 -2835 -4000 0 0 1 0 1
1 310 3 -405 -2025 -4000 0 0 1 0 1
1 311 3 -405 -1215 -4000 0 0 1 0 1
1 312 3 -405 -405 -4000 0 0 1 0 1
1 313 3 -405 405 -4000 0 0 1 0 1
1 314 3 -405 1215 -4000 0 0 1 0 1
1 315 3 -405 2025 -4000 0 0 1 0 1
1 316 3 -405 2835 -4000 0 0 1 0 1
1 317 3 405 -2835 -4000 0 0 1 0 1
1 318 3 405 -2025 -4000 0 0 1 0 1
1 319 3 405 -1215 -4000 0 0 1 0 1
1 320 3 405 -405 -4000 0 0 1 0 1
1 321 3 405 405 -4000 0 0 1 0 1
1 322 3 405 1215 -4000 0 0 1 0 1
1 323 3 405 2025 -4000 0 0 1 0 1
1 324 3 405 2835 -4000 0 0 1 0 1
1 325 3 1215 -2025 -4000 0 0 1 0 1
1 326 3 1215 -1215 -4000 0 0 1 0 1
1 327 3 1215 -405 -4000 0 0 1 0 1
1 328 3 1215 405 -4000 0 0 1 0 1
1 329 3 1215 1215 -4000 0 0 1 0 1
1 330 3 1215 2025 -4000 0 0 1 0 1
1 331 3 2025 -1215 -4000 0 0 1 0 1
1 332 3 2025 -405 -4000 0 0 1 0 1
1 333 3 2025 405 -4000 0 0 1 0 1
1 334 3 2025 1215 -4000 0 0 1 0 1
1 335 3 2835 -405 -4000 0 0 1 0 1
1 336 3 2835 405 -4000 0 0 1 0 1
1 337 4 3500.66 341.408 -3291.56 -0.980785 -0.19509 0 0 1
1 338 4 3364.84 1024.22 -3291.56 -0.980785 -0.19509 0 0 1
1 339 4 3103.54 1655.06 -3291.56 -0.83147 -0.55557 0 0 1
1 340 4 2716.75 2233.93 -3291.56 -0.83147 -0.55557 0 0 1
1 341 4 2233.93 2716.75 -3291.56 -0.55557 -0.83147 0 0 1
1 342 4 1655.06 3103.54 -3291.56 -0.55557 -0.83147 0 0 1
1 343 4 1024.22 3364.84 -3291.56 -0.19509 -0.980785 0 0 1
1 344 4 341.408 3500.66 -3291.56 -0.19509 -0.980785 0 0 1
1 345 4 -341.408 3500.66 -3291.56 0.19509 -0.980785 0 0 1
1 346 4 -1024.22 3364.84 -3291.56 0.19509 -0.980785 0 0 1
1 347 4 -1655.06 3103.54 -3291.56 0.55557 -0.83147 0 0 1
1 348 4 -2233.93 2716.75 -3291.56 0.55557 -0.83147 0 0 1
1 349 4 -2716.75 2233.93 -3291.56 0.83147 -0.55557 0 0 1
1 350 4 -3103.54 1655.06 -3291.56 0.83147 -0.55557 0 0 1
1 351 4 -3364.84 1024.22 -3291.56 0.980785 -0.19509 0 0 1
1 352 4 -3500.66 341.408 -3291.56 0.980785 -0.19509 0 0 1
1 353 4 -3500.66 -341.408 -3291.56 0.980785 0.19509 0 0 1
1 354 4 -3364.84 -1024.22 -3291.56 0.980785 0.19509 0 0 1
1 355 4 -3103.54 -1655.06 -3291.56 0.83147 0.55557 0 0 1
1 356 4 -2716.75 -2233.93 -3291.56 0.83147 0.55557 0 0 1
1 357 4 -2233.93 -2716.75 -3291.56 0.55557 0.83147 0 0 1
1 358 4 -1655.06 -3103.54 -3291.56 0.55557 0.83147 0 0 1
1 359 4 -1024.22 -3364.84 -3291.56 0.19509 0.980785 0 0 1
1 360 4 -341.408 -3500.66 -3291.56 0.19509 0.980785 0 0 1
1 361 4 341.408 -3500.66 -3291.56 -0.19509 0.980785 0 0 1
1 362 4 1024.22 -3364.84 -3291.56 -0.19509 0.980785 0 0 1
1 363 4 1655.06 -3103.54 -3291.56 -0.55557 0.83147 0 0 1
1 364 4 2233.93 -2716.75 -3291.56 -0.55557 0.83147 0 0 1
